,id,platnost_od,platnost_do,akceptovano,mena,cena_za_mwh
56,1056,2022-01-01,2022-12-31,Ano,CZK,3363.308292377881
57,1057,2022-01-01,2022-12-31,Ano,CZK,5341.837898848036
58,1058,2022-01-01,2022-12-31,Ano,CZK,4376.612364777302
59,1059,2022-01-01,2022-12-31,Ano,CZK,3591.345690929441
60,1060,2022-01-01,2022-12-31,Ano,CZK,4958.675487782326
61,1061,2022-01-01,2022-12-31,Ano,EUR,3916.2457324142097
62,1062,2022-01-01,2022-12-31,Ne,EUR,5077.086385858629
63,1063,2022-01-01,2022-12-31,Ano,CZK,2001.8752724997244
64,1064,2022-01-01,2022-12-31,Ano,CZK,2928.4436994027465
65,1065,2022-01-01,2022-12-31,Ano,CZK,5342.876995905324
66,1066,2022-01-01,2022-12-31,Ano,CZK,5565.984697908505
67,1067,2022-01-01,2022-12-31,Ano,CZK,5876.7368596631695
68,1068,2022-01-01,2022-12-31,Ano,CZK,2308.4904337764146
69,1069,2022-01-01,2022-12-31,Ano,CZK,5078.527085008921
70,1070,2022-01-01,2022-12-31,Ano,CZK,3296.6037611398788
71,1071,2022-01-01,2022-12-31,Ano,CZK,3667.8032435652694
72,1072,2022-01-01,2022-12-31,Ano,CZK,5110.724463786636
73,1073,2022-01-01,2022-12-31,Ano,CZK,5731.111255302803
74,1074,2022-01-01,2022-12-31,Ano,CZK,2941.9839507584857
75,1075,2022-01-01,2022-12-31,Ano,CZK,1800.570616648481
76,1076,2022-01-01,2022-12-31,Ano,EUR,2532.505829504719
77,1077,2022-01-01,2022-12-31,Ano,CZK,4972.357416406979
78,1078,2022-01-01,2022-12-31,Ano,CZK,2357.5496191486836
79,1079,2022-01-01,2022-12-31,Ne,CZK,3570.564320504608
80,1080,2022-01-01,2022-12-31,Ano,EUR,3314.4658560119506
81,1081,2022-01-01,2022-12-31,Ano,CZK,3096.9575258611976
82,1082,2022-01-01,2022-12-31,Ano,CZK,4116.499571402834
83,1083,2022-01-01,2022-12-31,Ano,EUR,4125.700175612223
84,1084,2022-01-01,2022-12-31,Ne,CZK,4809.517352663395
85,1085,2022-01-01,2022-12-31,Ano,CZK,2197.2731161507954
86,1086,2022-01-01,2022-12-31,Ano,EUR,3688.1543323067694
87,1087,2022-01-01,2022-12-31,Ne,EUR,3883.309285308071
88,1088,2022-01-01,2022-12-31,Ano,CZK,5995.796709072225
89,1089,2022-01-01,2022-12-31,Ne,CZK,4763.076637632155
90,1090,2022-01-01,2022-12-31,Ano,EUR,3635.9815740079275
91,1091,2022-01-01,2022-12-31,Ne,CZK,3422.3364189003887
92,1092,2022-01-01,2022-12-31,Ne,CZK,5154.2019022508575
93,1093,2022-01-01,2022-12-31,Ne,CZK,3986.8055365830023
94,1094,2022-01-01,2022-12-31,Ano,CZK,3550.545663891504
95,1095,2022-01-01,2022-12-31,Ano,CZK,3799.157566461694
96,1096,2022-01-01,2022-12-31,Ano,CZK,4655.569526112615
97,1097,2022-01-01,2022-12-31,Ano,CZK,1813.1700491127056
98,1098,2022-01-01,2022-12-31,Ano,EUR,2918.0938638739517
99,1099,2022-01-01,2022-12-31,Ano,EUR,3692.09920429861
100,1100,2022-01-01,2022-12-31,Ano,CZK,4599.287987589365
101,1101,2022-01-01,2022-12-31,Ano,EUR,4024.204281965862
102,1102,2022-01-01,2022-12-31,Ano,CZK,3416.9361653342694
103,1103,2022-01-01,2022-12-31,Ano,CZK,2086.1533733836
104,1104,2022-01-01,2022-12-31,Ano,EUR,4629.61576888506
105,1105,2022-01-01,2022-12-31,Ano,CZK,2997.0171428599915
106,1106,2022-01-01,2022-12-31,Ano,CZK,2888.6138548007075
107,1107,2022-01-01,2022-12-31,Ano,CZK,2145.2593395244794
108,1108,2022-01-01,2022-12-31,Ano,CZK,5750.265580783952
109,1109,2022-01-01,2022-12-31,Ano,CZK,5928.0926541913905
110,1110,2022-01-01,2022-12-31,Ano,CZK,4313.36445587296
111,1111,2022-01-01,2022-12-31,Ano,EUR,4447.482311618697
112,1112,2022-01-01,2022-12-31,Ano,EUR,4999.77627869167
113,1113,2022-01-01,2022-12-31,Ano,CZK,2228.560132581419
114,1114,2022-01-01,2022-12-31,Ano,CZK,4933.449979362813
115,1115,2022-01-01,2022-12-31,Ano,EUR,2461.8441036941053
116,1116,2022-01-01,2022-12-31,Ano,CZK,4414.80706348103
117,1117,2022-01-01,2022-12-31,Ano,CZK,3788.3697812587366
118,1118,2022-01-01,2022-12-31,Ano,CZK,5188.448014278479
119,1119,2022-01-01,2022-12-31,Ano,CZK,4460.619961222976
120,1120,2022-01-01,2022-12-31,Ano,CZK,4036.4851579584224
121,1121,2022-01-01,2022-12-31,Ano,CZK,2141.9040042554293
122,1122,2022-01-01,2022-12-31,Ano,CZK,5762.531469723656
123,1123,2022-01-01,2022-12-31,Ano,CZK,2911.331972200831
124,1124,2022-01-01,2022-12-31,Ano,EUR,5563.35505830609
125,1125,2022-01-01,2022-12-31,Ano,EUR,4280.669823196199
126,1126,2022-01-01,2022-12-31,Ano,CZK,5412.526821201094
127,1127,2022-01-01,2022-12-31,Ne,CZK,3321.194856654511
128,1128,2022-01-01,2022-12-31,Ano,CZK,2367.219493803176
129,1129,2022-01-01,2022-12-31,Ano,CZK,2697.7979201383687
130,1130,2022-01-01,2022-12-31,Ano,CZK,4159.628865057566
131,1131,2022-01-01,2022-12-31,Ano,CZK,2246.9236098481174
132,1132,2022-01-01,2022-12-31,Ano,CZK,2138.8310111116652
133,1133,2022-01-01,2022-12-31,Ano,EUR,4861.16921315758
134,1134,2022-01-01,2022-12-31,Ano,EUR,5458.326840118352
135,1135,2022-01-01,2022-12-31,Ano,CZK,2568.0122625388053
136,1136,2022-01-01,2022-12-31,Ne,CZK,5779.688166800066
137,1137,2022-01-01,2022-12-31,Ano,CZK,3511.370361236132
138,1138,2022-01-01,2022-12-31,Ne,EUR,2132.7422194754276
139,1139,2022-01-01,2022-12-31,Ne,CZK,2920.581096928625
140,1140,2022-01-01,2022-12-31,Ano,EUR,2716.4047040984733
141,1141,2022-01-01,2022-12-31,Ano,CZK,5787.9127278731285
142,1142,2022-01-01,2022-12-31,Ano,CZK,3948.759753112145
143,1143,2022-01-01,2022-12-31,Ano,EUR,3247.9726630766336
144,1144,2022-01-01,2022-12-31,Ano,CZK,5393.788678102914
145,1145,2022-01-01,2022-12-31,Ano,CZK,3587.067027570164
146,1146,2022-01-01,2022-12-31,Ano,EUR,4983.951355592948
147,1147,2022-01-01,2022-12-31,Ano,CZK,1874.4390299700497
148,1148,2022-01-01,2022-12-31,Ano,CZK,2084.789590070496
149,1149,2022-01-01,2022-12-31,Ano,EUR,4035.5012796128635
150,1150,2022-01-01,2022-12-31,Ano,EUR,3623.6726673844414
151,1151,2022-01-01,2022-12-31,Ano,CZK,4369.4986058020895
152,1152,2022-01-01,2022-12-31,Ano,CZK,2700.787198166397
153,1153,2022-01-01,2022-12-31,Ano,CZK,4514.905872144844
154,1154,2022-01-01,2022-12-31,Ano,EUR,3421.2166417558637
155,1155,2022-01-01,2022-12-31,Ano,EUR,5929.882664229682
156,1156,2022-01-01,2022-12-31,Ne,CZK,2661.941085816007
157,1157,2022-01-01,2022-12-31,Ano,CZK,2323.907552726945
158,1158,2022-01-01,2022-12-31,Ano,CZK,2496.8727435525957
159,1159,2022-01-01,2022-12-31,Ano,CZK,2075.2263791183477
160,1160,2022-01-01,2022-12-31,Ne,CZK,3990.8863851814494
161,1161,2022-01-01,2022-12-31,Ano,CZK,2641.0799300647386
162,1162,2022-01-01,2022-12-31,Ano,EUR,2354.6747200923446
163,1163,2022-01-01,2022-12-31,Ano,CZK,4439.324380770295
164,1164,2022-01-01,2022-12-31,Ne,CZK,2805.5446392055537
165,1165,2022-01-01,2022-12-31,Ano,CZK,4785.142445010667
166,1166,2022-01-01,2022-12-31,Ano,EUR,2714.899296977538
167,1167,2022-01-01,2022-12-31,Ano,CZK,4366.214955463298
168,1168,2022-01-01,2022-12-31,Ano,EUR,5040.905238786634
169,1169,2022-01-01,2022-12-31,Ano,EUR,3859.2171825482956
170,1170,2022-01-01,2022-12-31,Ano,CZK,2092.689426623247
171,1171,2022-01-01,2022-12-31,Ano,CZK,3359.6524519153036
172,1172,2022-01-01,2022-12-31,Ano,CZK,2452.9822839576454
173,1173,2022-01-01,2022-12-31,Ano,CZK,3442.631402391374
174,1174,2022-01-01,2022-12-31,Ano,CZK,5240.4726822024095
175,1175,2022-01-01,2022-12-31,Ne,CZK,4662.670395026564
176,1176,2022-01-01,2022-12-31,Ne,CZK,3484.9059931466854
177,1177,2022-01-01,2022-12-31,Ano,CZK,5059.476735806016
178,1178,2022-01-01,2022-12-31,Ano,CZK,4773.744161303405
179,1179,2022-01-01,2022-12-31,Ano,CZK,4680.731006222024
180,1180,2022-01-01,2022-12-31,Ano,CZK,4635.834675326689
181,1181,2022-01-01,2022-12-31,Ano,CZK,2586.926109785075
182,1182,2022-01-01,2022-12-31,Ne,CZK,5648.979792589089
183,1183,2022-01-01,2022-12-31,Ano,CZK,2218.952691040081
184,1184,2022-01-01,2022-12-31,Ano,EUR,2654.3291818857133
185,1185,2022-01-01,2022-12-31,Ano,CZK,4135.014403157033
186,1186,2022-01-01,2022-12-31,Ano,CZK,3580.2096492020246
187,1187,2022-01-01,2022-12-31,Ano,CZK,5971.382931504005
188,1188,2022-01-01,2022-12-31,Ano,CZK,5064.034169203596
189,1189,2022-01-01,2022-12-31,Ano,CZK,4153.416218983223
190,1190,2022-01-01,2022-12-31,Ano,CZK,3710.2402471489486
191,1191,2022-01-01,2022-12-31,Ano,CZK,3021.1778428597154
192,1192,2022-01-01,2022-12-31,Ano,CZK,3630.929510154166
193,1193,2022-01-01,2022-12-31,Ano,CZK,3476.7375861703285
194,1194,2022-01-01,2022-12-31,Ano,EUR,2826.5370756894117
195,1195,2022-01-01,2022-12-31,Ano,CZK,5147.408178270038
196,1196,2022-01-01,2022-12-31,Ano,CZK,2571.5848380145994
197,1197,2022-01-01,2022-12-31,Ano,CZK,5009.640877638381
198,1198,2022-01-01,2022-12-31,Ano,CZK,2885.387007468497
199,1199,2022-01-01,2022-12-31,Ano,EUR,3364.8250386591867
200,1200,2022-01-01,2022-12-31,Ano,CZK,5974.9817907127435
201,1201,2022-01-01,2022-12-31,Ano,CZK,2941.9711401482227
202,1202,2022-01-01,2022-12-31,Ano,CZK,4362.249198780698
203,1203,2022-01-01,2022-12-31,Ne,CZK,5009.049104619695
204,1204,2022-01-01,2022-12-31,Ano,CZK,4692.931317351433
205,1205,2022-01-01,2022-12-31,Ano,EUR,4403.773334862051
206,1206,2022-01-01,2022-12-31,Ano,CZK,5676.049088708274
207,1207,2022-01-01,2022-12-31,Ano,CZK,4066.6773430365342
208,1208,2022-01-01,2022-12-31,Ano,EUR,3968.7892316576913
209,1209,2022-01-01,2022-12-31,Ano,CZK,4391.14706957666
210,1210,2022-01-01,2022-12-31,Ano,CZK,3856.6222714576575
211,1211,2022-01-01,2022-12-31,Ano,EUR,3329.580793664641
212,1212,2022-01-01,2022-12-31,Ano,CZK,5565.901893201004
213,1213,2022-01-01,2022-12-31,Ano,CZK,5254.2346878981825
214,1214,2022-01-01,2022-12-31,Ano,EUR,5590.913811839406
215,1215,2022-01-01,2022-12-31,Ano,EUR,4838.182547718459
216,1216,2022-01-01,2022-12-31,Ano,CZK,3169.512453527688
217,1217,2022-01-01,2022-12-31,Ano,CZK,4572.813270153945
218,1218,2022-01-01,2022-12-31,Ano,CZK,5299.2004840322825
219,1219,2022-01-01,2022-12-31,Ano,CZK,3482.4419723381584
220,1220,2022-01-01,2022-12-31,Ano,CZK,4515.749295938876
221,1221,2022-01-01,2022-12-31,Ano,CZK,4307.510008434769
222,1222,2022-01-01,2022-12-31,Ano,CZK,2310.2601824997305
223,1223,2022-01-01,2022-12-31,Ano,CZK,4486.765070641492
224,1224,2022-01-01,2022-12-31,Ano,EUR,5431.522044453246
225,1225,2022-01-01,2022-12-31,Ano,CZK,5894.698696783567
226,1226,2022-01-01,2022-12-31,Ano,EUR,2858.8876957466355
227,1227,2022-01-01,2022-12-31,Ne,CZK,2439.8554386008927
228,1228,2022-01-01,2022-12-31,Ano,CZK,5534.025520430888
229,1229,2022-01-01,2022-12-31,Ano,CZK,3271.3457755789486
230,1230,2022-01-01,2022-12-31,Ano,EUR,4697.997254317294
231,1231,2022-01-01,2022-12-31,Ano,CZK,2309.1265261510325
232,1232,2022-01-01,2022-12-31,Ano,CZK,5812.6049936371
233,1233,2022-01-01,2022-12-31,Ano,EUR,5786.433988048647
234,1234,2022-01-01,2022-12-31,Ano,CZK,3197.1969649091843
235,1235,2022-01-01,2022-12-31,Ano,CZK,3500.0541798186714
236,1236,2022-01-01,2022-12-31,Ano,CZK,4885.187746701558
237,1237,2022-01-01,2022-12-31,Ano,CZK,4887.620215732139
238,1238,2022-01-01,2022-12-31,Ano,CZK,2840.384576960842
239,1239,2022-01-01,2022-12-31,Ano,CZK,2614.0303055530494
240,1240,2022-01-01,2022-12-31,Ano,CZK,4140.154732962614
241,1241,2022-01-01,2022-12-31,Ano,EUR,3591.6383062387013
242,1242,2022-01-01,2022-12-31,Ano,EUR,3509.79270114894
243,1243,2022-01-01,2022-12-31,Ne,EUR,3485.972194306647
244,1244,2022-01-01,2022-12-31,Ano,EUR,4234.162869803559
245,1245,2022-01-01,2022-12-31,Ne,CZK,5686.621319324275
246,1246,2022-01-01,2022-12-31,Ano,CZK,5853.003154998092
247,1247,2022-01-01,2022-12-31,Ano,CZK,3779.2884472548894
248,1248,2022-01-01,2022-12-31,Ano,CZK,5001.948511461902
249,1249,2022-01-01,2022-12-31,Ano,CZK,5518.654903369861
250,1250,2022-01-01,2022-12-31,Ano,CZK,3160.769018655463
251,1251,2022-01-01,2022-12-31,Ano,CZK,4577.8292343242665
252,1252,2022-01-01,2022-12-31,Ano,CZK,5595.2615795907095
253,1253,2022-01-01,2022-12-31,Ano,CZK,2496.1786405378134
254,1254,2022-01-01,2022-12-31,Ne,CZK,4787.309501590499
255,1255,2022-01-01,2022-12-31,Ano,CZK,3306.9071425627717
256,1256,2022-01-01,2022-12-31,Ano,EUR,4896.849702593359
257,1257,2022-01-01,2022-12-31,Ne,EUR,5277.898682772108
258,1258,2022-01-01,2022-12-31,Ano,CZK,2372.893507678058
259,1259,2022-01-01,2022-12-31,Ano,EUR,4576.210257825
260,1260,2022-01-01,2022-12-31,Ano,EUR,4687.698585675182
261,1261,2022-01-01,2022-12-31,Ne,CZK,1878.4427758957775
262,1262,2022-01-01,2022-12-31,Ano,EUR,5324.945721862892
263,1263,2022-01-01,2022-12-31,Ano,CZK,2175.299835921647
264,1264,2022-01-01,2022-12-31,Ano,CZK,3356.9929718346734
265,1265,2022-01-01,2022-12-31,Ano,EUR,5957.975182396433
266,1266,2022-01-01,2022-12-31,Ano,CZK,2472.9071596020112
267,1267,2022-01-01,2022-12-31,Ano,CZK,2321.7732972757003
268,1268,2022-01-01,2022-12-31,Ano,EUR,4627.728647043881
269,1269,2022-01-01,2022-12-31,Ne,CZK,5103.076609471492
270,1270,2022-01-01,2022-12-31,Ano,CZK,3933.151278593558
271,1271,2022-01-01,2022-12-31,Ano,EUR,3629.151049798046
272,1272,2022-01-01,2022-12-31,Ano,CZK,5388.143140246259
273,1273,2022-01-01,2022-12-31,Ano,CZK,5881.552749722725
274,1274,2022-01-01,2022-12-31,Ne,CZK,2742.2744519207936
275,1275,2022-01-01,2022-12-31,Ano,CZK,2634.7455618182257
276,1276,2022-01-01,2022-12-31,Ano,CZK,4520.893453284539
277,1277,2022-01-01,2022-12-31,Ne,CZK,3501.168877336946
278,1278,2022-01-01,2022-12-31,Ano,CZK,3106.4528304866494
279,1279,2022-01-01,2022-12-31,Ne,EUR,1852.39440987773
280,1280,2022-01-01,2022-12-31,Ano,CZK,5021.287986982788
281,1281,2022-01-01,2022-12-31,Ano,CZK,5792.032647827976
282,1282,2022-01-01,2022-12-31,Ano,CZK,3269.2244885595505
283,1283,2022-01-01,2022-12-31,Ano,CZK,4839.42724035436
284,1284,2022-01-01,2022-12-31,Ano,CZK,4181.738896596165
285,1285,2022-01-01,2022-12-31,Ne,CZK,5968.985273443964
286,1286,2022-01-01,2022-12-31,Ano,EUR,5574.519999875954
287,1287,2022-01-01,2022-12-31,Ano,EUR,4989.2379610327425
288,1288,2022-01-01,2022-12-31,Ano,CZK,4223.346003841932
289,1289,2022-01-01,2022-12-31,Ano,CZK,2249.2498432470898
290,1290,2022-01-01,2022-12-31,Ne,CZK,3233.1472491925642
291,1291,2022-01-01,2022-12-31,Ne,EUR,1915.3659631624084
292,1292,2022-01-01,2022-12-31,Ano,CZK,3908.7551006704166
293,1293,2022-01-01,2022-12-31,Ano,CZK,4999.095436916614
294,1294,2022-01-01,2022-12-31,Ne,EUR,5976.940144794663
295,1295,2022-01-01,2022-12-31,Ano,EUR,4050.6920409729096
296,1296,2022-01-01,2022-12-31,Ano,CZK,3124.0504029826375
297,1297,2022-01-01,2022-12-31,Ano,CZK,2997.7522449987655
298,1298,2022-01-01,2022-12-31,Ne,CZK,3167.8939499486805
299,1299,2022-01-01,2022-12-31,Ano,CZK,3788.1240770842587
300,1300,2022-01-01,2022-12-31,Ne,CZK,4031.800676969927
301,1301,2022-01-01,2022-12-31,Ano,EUR,5432.237769239458
302,1302,2022-01-01,2022-12-31,Ano,CZK,4606.249715913175
303,1303,2022-01-01,2022-12-31,Ano,CZK,3197.3776674204328
304,1304,2022-01-01,2022-12-31,Ano,CZK,3451.3269540250794
305,1305,2022-01-01,2022-12-31,Ano,CZK,5669.368522814627
306,1306,2022-01-01,2022-12-31,Ano,EUR,2244.134159100994
307,1307,2022-01-01,2022-12-31,Ano,CZK,4319.5215338619455
308,1308,2022-01-01,2022-12-31,Ne,EUR,3626.2918092239206
309,1309,2022-01-01,2022-12-31,Ano,CZK,2689.46129078796
310,1310,2022-01-01,2022-12-31,Ano,CZK,2356.0857799669775
311,1311,2022-01-01,2022-12-31,Ne,CZK,2399.9246580010035
312,1312,2022-01-01,2022-12-31,Ano,CZK,3548.489782888327
313,1313,2022-01-01,2022-12-31,Ano,EUR,2687.26188711352
314,1314,2022-01-01,2022-12-31,Ano,EUR,2196.006371149052
315,1315,2022-01-01,2022-12-31,Ano,CZK,3063.771182977397
316,1316,2022-01-01,2022-12-31,Ano,CZK,4822.121483091161
317,1317,2022-01-01,2022-12-31,Ano,CZK,3901.182421975413
318,1318,2022-01-01,2022-12-31,Ne,EUR,2982.7369838349728
319,1319,2022-01-01,2022-12-31,Ne,CZK,2727.4203058866533
320,1320,2022-01-01,2022-12-31,Ano,CZK,3845.366325160705
321,1321,2022-01-01,2022-12-31,Ano,EUR,4573.374840887223
322,1322,2022-01-01,2022-12-31,Ano,EUR,5989.8829904085305
323,1323,2022-01-01,2022-12-31,Ano,EUR,5373.059437540052
324,1324,2022-01-01,2022-12-31,Ano,CZK,5942.52297251199
325,1325,2022-01-01,2022-12-31,Ano,CZK,3681.2967829819254
326,1326,2022-01-01,2022-12-31,Ano,CZK,5702.418339417568
327,1327,2022-01-01,2022-12-31,Ano,CZK,4899.410197427216
328,1328,2022-01-01,2022-12-31,Ano,CZK,2762.9856472954984
329,1329,2022-01-01,2022-12-31,Ano,EUR,4327.3714447051825
330,1330,2022-01-01,2022-12-31,Ano,CZK,3186.323539239301
331,1331,2022-01-01,2022-12-31,Ano,EUR,2501.226181244997
332,1332,2022-01-01,2022-12-31,Ano,EUR,4765.676862824617
333,1333,2022-01-01,2022-12-31,Ano,CZK,3995.4424681566766
334,1334,2022-01-01,2022-12-31,Ne,EUR,3731.153781747492
335,1335,2022-01-01,2022-12-31,Ano,CZK,3503.0503451583418
336,1336,2022-01-01,2022-12-31,Ne,CZK,2527.2275478944293
337,1337,2022-01-01,2022-12-31,Ano,CZK,3950.9695896612584
338,1338,2022-01-01,2022-12-31,Ano,CZK,4519.6162718951
339,1339,2022-01-01,2022-12-31,Ano,CZK,3609.34063754803
340,1340,2022-01-01,2022-12-31,Ano,CZK,2460.5712495265143
341,1341,2022-01-01,2022-12-31,Ano,CZK,3303.154396517969
342,1342,2022-01-01,2022-12-31,Ano,CZK,5743.950129684135
343,1343,2022-01-01,2022-12-31,Ano,CZK,3392.4217291942327
344,1344,2022-01-01,2022-12-31,Ano,EUR,4529.843052458618
345,1345,2022-01-01,2022-12-31,Ne,CZK,1976.6970979002717
346,1346,2022-01-01,2022-12-31,Ano,EUR,5011.268121352018
347,1347,2022-01-01,2022-12-31,Ano,EUR,4066.1943005835124
348,1348,2022-01-01,2022-12-31,Ano,CZK,4095.08661504938
349,1349,2022-01-01,2022-12-31,Ano,EUR,5388.432981618834
350,1350,2022-01-01,2022-12-31,Ne,EUR,3661.70255646447
351,1351,2022-01-01,2022-12-31,Ano,CZK,5124.658901830541
352,1352,2022-01-01,2022-12-31,Ano,CZK,4743.260063812331
353,1353,2022-01-01,2022-12-31,Ano,CZK,5308.048713480883
354,1354,2022-01-01,2022-12-31,Ne,CZK,5170.3173641270805
355,1355,2022-01-01,2022-12-31,Ano,CZK,5777.814542966961
356,1356,2022-01-01,2022-12-31,Ano,CZK,2894.027867614322
357,1357,2022-01-01,2022-12-31,Ano,CZK,5959.440956428747
358,1358,2022-01-01,2022-12-31,Ne,CZK,3233.0846550094675
359,1359,2022-01-01,2022-12-31,Ano,EUR,4571.362788322482
360,1360,2022-01-01,2022-12-31,Ano,CZK,2512.8468324024843
361,1361,2022-01-01,2022-12-31,Ano,EUR,5468.225526742885
362,1362,2022-01-01,2022-12-31,Ne,CZK,5826.564568933362
363,1363,2022-01-01,2022-12-31,Ano,EUR,3315.5097850198035
364,1364,2022-01-01,2022-12-31,Ano,CZK,4072.6851922697597
365,1365,2022-01-01,2022-12-31,Ano,CZK,5670.639194552523
366,1366,2022-01-01,2022-12-31,Ano,EUR,2289.7385645409104
367,1367,2022-01-01,2022-12-31,Ano,EUR,2424.139636410875
368,1368,2022-01-01,2022-12-31,Ano,CZK,2797.4234821041064
369,1369,2022-01-01,2022-12-31,Ano,CZK,3858.2929855095945
370,1370,2022-01-01,2022-12-31,Ano,CZK,2020.0168230819095
371,1371,2022-01-01,2022-12-31,Ano,CZK,4066.6848695805975
372,1372,2022-01-01,2022-12-31,Ano,CZK,3033.144747780796
373,1373,2022-01-01,2022-12-31,Ano,CZK,1974.9543928683229
374,1374,2022-01-01,2022-12-31,Ano,EUR,5677.537321072668
375,1375,2022-01-01,2022-12-31,Ano,EUR,2740.6505741087403
376,1376,2022-01-01,2022-12-31,Ano,CZK,4743.684099706806
377,1377,2022-01-01,2022-12-31,Ano,EUR,2888.0026593677458
378,1378,2022-01-01,2022-12-31,Ano,EUR,4883.671340585086
379,1379,2022-01-01,2022-12-31,Ano,CZK,5588.473718710177
380,1380,2022-01-01,2022-12-31,Ano,CZK,1955.5503381476267
381,1381,2022-01-01,2022-12-31,Ano,CZK,3093.1187423697725
382,1382,2022-01-01,2022-12-31,Ano,CZK,5871.081487619598
383,1383,2022-01-01,2022-12-31,Ano,CZK,4367.075609812016
384,1384,2022-01-01,2022-12-31,Ne,EUR,3504.4699863104506
385,1385,2022-01-01,2022-12-31,Ano,CZK,2991.424748887176
386,1386,2022-01-01,2022-12-31,Ano,CZK,4659.282096407062
387,1387,2022-01-01,2022-12-31,Ano,CZK,4356.6347487217645
388,1388,2022-01-01,2022-12-31,Ano,CZK,4877.811180327166
389,1389,2022-01-01,2022-12-31,Ano,EUR,3852.0562356160426
390,1390,2022-01-01,2022-12-31,Ano,CZK,3364.6557423743543
391,1391,2022-01-01,2022-12-31,Ano,CZK,3704.39619947589
392,1392,2022-01-01,2022-12-31,Ano,CZK,2386.019247233832
